Recipe	Ingredient	Quantity	Location
lentils with fruit and sweet potatoes	lentils	16oz	2
lentils with fruit and sweet potatoes	vegetable oil	1tb	3
lentils with fruit and sweet potatoes	onion	1	1
lentils with fruit and sweet potatoes	garlic	1clove	1
lentils with fruit and sweet potatoes	tomatoes	1can	1
lentils with fruit and sweet potatoes	pineapple	1can	2
lentils with fruit and sweet potatoes	pear	2	1
lentils with fruit and sweet potatoes	sweet potato	1large	1
lentils with fruit and sweet potatoes	plantain	1	1
spinach enchiladas verde	sour cream	1c	5
spinach enchiladas verde	green salsa	7oz	2
spinach enchiladas verde	spinach	16oz	1
spinach enchiladas verde	cheese	4c	5
spinach enchiladas verde	tortillas	9	2
penne all'arrabbiata	olive oil	8tb	3
penne all'arrabbiata	crushed tomatoes	1can	2
penne all'arrabbiata	diced tomatoes	1can	2
penne all'arrabbiata	penne pasta	16oz	2
penne all'arrabbiata	red pepper flakes	1tb	3
sweet potato burritos	onion	1	1
sweet potato burritos	vegetable oil	1tb	3
sweet potato burritos	garlic	4clove	1
sweet potato burritos	kidney beans	6c	2
sweet potato burritos	chilli powder	3tb	3
sweet potato burritos	cumin	2t	3
sweet potato burritos	mustard	4t	3
sweet potato burritos	soy sauce	3tb	3
sweet potato burritos	sweet potato	4c	1
sweet potato burritos	tortillas	12	2
sweet potato burritos	cheese	2c	5
cabbage cheddar pie	vegetable oil	2tb	3
cabbage cheddar pie	onion	1	1
cabbage cheddar pie	cabbage	1medium	1
cabbage cheddar pie	sour cream	.25c	5
cabbage cheddar pie	dijon mustard	1t	4
cabbage cheddar pie	cheese	1c	5
cabbage cheddar pie	breadcrumbs	.5c	3
cabbage cheddar pie	pie shell	2	6
sweet potato beetroot curry	sweet potato	4	1
sweet potato beetroot curry	beetroot	1can	2
sweet potato beetroot curry	tomatoes green chillies	1can	2
sweet potato beetroot curry	garlic	4clove	1
sweet potato beetroot curry	ginger	4tb	1
sweet potato beetroot curry	onion	1	1
sweet potato beetroot curry	lemon	1	1
sweet potato beetroot curry	curry powder	3t	3
sweet potato beetroot curry	cumin seeds	1t	3
sweet potato beetroot curry	chilli powder	2t	3
veggie burros	vegetable oil	2tb	3
veggie burros	onion	1	1
veggie burros	green bell pepper	1	1
veggie burros	zucchini	1	1
